core_name_norm,full_name,wikidata_qid,confidence,auto_match
camil petrescu,Camil Petrescu,Q857714,0.95,True
camil ressu,Camil Ressu,Q926472,0.95,True
dr.camil velican,Camil Velican,Q55607778,0.95,True
carol davila,Carol Davila,Q1044174,0.95,True
cezar bolliac,Cezar Bolliac,Q5065837,0.95,True
cezar petrescu,Cezar Petrescu,Q2428037,0.95,True
constantin brancusi,Constantin Brâncuși,Q153048,0.95,True
general constantin coanda,Constantin Coandă,Q515187,0.95,True
constantin daicoviciu,Constantin Daicoviciu,Q12112450,0.95,True
constantin prezan,Constantin Prezan,Q868851,0.95,True
constantin stere,Constantin Stere,Q2025879,0.95,True
cornel medrea,Cornel Medrea,Q5171135,0.95,True
cosminului,Cosmin,Q1136134,0.95,True
costache negri,Costache Negri,Q5112591,0.95,True
costache negruzzi,Costache Negruzzi,Q868839,1.00,True
crisan,Crișan,Q16427771,0.95,True
david prodan,David Prodan,Q12726446,0.95,True
decebal,Decebal,Q903230,0.95,True
dimitrie bolintineanu,Dimitrie Bolintineanu,Q5277530,0.95,True
dimitrie cantemir,Dimitrie Cantemir,Q159933,0.95,True
dimitrie paciurea,Dimitrie Paciurea,Q5277543,0.95,True
doamna stanca,Doamna Stanca,Q12726871,0.95,True
dominic medrea,Dominic Medrea,Q97196468,0.95,True
dragos voda,Dragoș Vodă,Q2537456,0.95,True
ecaterina varga,Ecaterina Varga,Q580935,1.00,True
elena cuza,Elena Cuza,Q4975558,0.95,True
elena vacarescu,Elena Văcărescu,Q292539,0.95,True
emil cioran,Emil Cioran,Q193405,0.95,True
emil garleanu,Emil Gârleanu,Q3052223,0.95,True
emil isac,Emil Isac,Q989324,0.95,True
emil racovita,Emil Racoviță,Q957599,0.95,True
emilian birdas,Emilian Birdaș,Q12727624,0.95,True
eugen hulea,Eugen Hulea,,0.00,False
eugen ionescu,Eugen Ionescu,Q59684743,0.95,True
eugen lovinescu,Eugen Lovinescu,Q3493179,0.95,True
ferdinand i,Ferdinand I,Q57165,1.00,True
frederic mistral,Frédéric Mistral,Q42596,0.95,True
gabriel bethlen,Gabriel Bethlen,Q313494,0.95,True
geo bogza,Geo Bogza,Q847345,0.95,True
george bacovia,George Bacovia,Q301391,0.95,True
george baritiu,George Barițiu,Q445042,1.00,True
george cosbuc,George Coșbuc,Q473257,0.95,True
george calinescu,George Călinescu,Q2988829,0.95,True
george emil palade,George Emil Palade,Q219718,0.95,True
george sand,George Sand,Q3816,0.95,True
george toparceanu,George Topârceanu,Q927459,1.00,True
gheorghe baritiu,Gheorghe Barițiu,Q445042,1.00,True
gheorghe dima,Gheorghe Dima,Q23750207,0.95,True
gheorghe doja,Gheorghe Doja,Q5057872,0.95,True
gheorghe magheru,Gheorghe Magheru,Q973203,0.95,True
gheorghe marinescu,Gheorghe Marinescu,Q1521586,0.95,True
gheorghe pop de basesti,Gheorghe Pop de Băsești,Q5556396,1.00,True
gheorghe sincai,Gheorghe Șincai,Q774046,0.95,True
gheorghe titeica,Gheorghe Țițeica,Q10564973,0.95,True
godeanu,Godeanu,Q2465460,0.95,True
grigore alexandrescu,Grigore Alexandrescu,Q937570,0.95,True
grigore moisil,Grigore Moisil,Q2546258,0.95,True
grigore ureche,Grigore Ureche,Q592030,0.95,True
grigore vieru,Grigore Vieru,Q684808,0.95,True
gustave flaubert,Gustave Flaubert,Q43444,0.95,True
henri coanda,Henri Coandă,Q328760,0.95,True
horea,Horea,Q16425275,0.95,True
horia,Horia,Q25114194,0.95,True
"horia,closca si crisan","Horia, Cloșca și Crișan",Q1656593,1.00,True
iancu jianu,Iancu Jianu,Q12724867,0.95,True
iancu de hunedoara,Iancu de Hunedoara,Q242688,1.00,True
ioan budai-deleanu,Ioan Budai-Deleanu,Q840643,0.95,True
ioan buteanu,Ioan Buteanu,Q3154035,0.95,True
ioan flueras,Ioan Flueraș,Q748482,0.95,True
i. gh. duca,Ioan Gheorghe Duca,Q1377596,1.00,True
ioan petru culianu,Ioan Petru Culianu,,0.00,False
ioan ratiu,Ioan Rațiu,Q12723573,0.70,False
ioan slavici,Ioan Slavici,Q961107,0.95,True
ion agarbiceanu,Ion Agîrbiceanu,Q12730779,0.95,True
ion antonescu,Ion Antonescu,Q152030,0.95,True
ion arion,Ion Arion,,0.00,False
ion budai deleanu,Ion Budai Deleanu,Q840643,1.00,True
ion c. bratianu,Ion C. Brătianu,Q153047,0.95,True
ion creanga,Ion Creangă,Q204810,0.95,True
g-ral ion dragalina,Ion Drăgălina,Q2918453,1.00,True
ion gavrila ogoranu,Ion Gavrilă Ogoranu,Q3917262,0.95,True
ion heliade radulescu,Ion Heliade Rădulescu,Q2071370,0.95,True
ion i. c. bratianu,Ion I. C. Brătianu,Q462175,0.95,True
ion ionescu de la brad,Ion Ionescu de la Brad,Q6063106,0.95,True
ion lancranjan,Ion Lăncrănjan,Q28121435,1.00,True
ion mihalache,Ion Mihalache,Q2779508,0.95,True
ion minulescu,Ion Minulescu,Q6063157,0.95,True
ion neculce,Ion Neculce,Q5114661,0.95,True
ion nistor,Ion Nistor,Q6063226,0.95,True
ion paun pincio,Ion Păun Pincio,Q12730939,1.00,True
ion roata,Ion Roată,Q2540525,0.95,True
ion slavici,Ion Slavici,Q961107,1.00,True
ion vidu,Ion Vidu,Q6063392,0.95,True
ionel pop,Ionel Pop,Q12731003,0.95,True
ionel teodoreanu,Ionel Teodoreanu,Q647963,0.95,True
iosif jumanca,Iosif Jumanca,Q12731039,0.95,True
iosif vulcan,Iosif Vulcan,Q568275,0.95,True
iuliu maniu,Iuliu Maniu,Q462164,0.95,True
jules verne,Jules Verne,Q33977,0.95,True
liviu rebreanu,Liviu Rebreanu,Q462220,0.95,True
lucian blaga,Lucian Blaga,Q381256,0.95,True
marcus aurelius,Marcus Aurelius,Q1430,0.95,True
marin preda,Marin Preda,Q1360145,0.95,True
marin sorescu,Marin Sorescu,Q2420296,0.95,True
marton aron,Marton Aron,Q289962,1.00,True
matei basarab,Matei Basarab,Q719546,0.95,True
matei millo,Matei Millo,Q2900758,0.95,True
mihai eminescu,Mihai Eminescu,Q184935,0.95,True
mihai viteazu,Mihai Viteazu,Q12724934,0.95,True
mihai viteazul,Mihai Viteazul,Q118755,1.00,True
mihail kogalniceanu,Mihail Kogălniceanu,Q319759,0.95,True
mina minovici,Mina Minovici,Q6862713,0.95,True
mircea eliade,Mircea Eliade,Q41590,0.95,True
mircea cel batran,Mircea cel Bătrân,Q12131591,0.95,True
miron costin,Miron Costin,Q2604582,0.95,True
miron cristea,Miron Cristea,Q2268352,1.00,True
n.d. paulescu,N.D. Paulescu,Q1386190,1.00,True
negru voda,Negru Vodă,Q305001,0.95,True
nichita stanescu,Nichita Stănescu,Q1261307,0.95,True
nicolae balcescu,Nicolae Bălcescu,Q940856,0.95,True
nicolae cretulescu,Nicolae Crețulescu,Q2138565,0.95,True
nicolae filimon,Nicolae Filimon,Q7029251,0.95,True
nicolae filipescu,Nicolae Filipescu,Q5471132,0.95,True
nicolae iorga,Nicolae Iorga,Q313581,0.95,True
nicolae labis,Nicolae Labiș,Q923614,0.95,True
nicolae linca,Nicolae Linca,Q290777,0.95,True
nicovalei,Nicovalai,,0.00,False
nina cassian,Nina Cassian,Q2735531,0.95,True
octav bancila,Octav Băncilă,Q3068361,0.95,True
octavian goga,Octavian Goga,Q223414,0.95,True
octavian paler,Octavian Paler,Q348790,0.95,True
oscar han,Oscar Han,Q513465,0.95,True
otilia cazimir,Otilia Cazimir,Q12737301,0.95,True
panait cerna,Panait Cerna,Q3657061,0.95,True
panait istrati,Panait Istrati,Q344179,0.95,True
penes curcanul,Peneș Curcanul,Q12737733,0.95,True
petre tutea,Petre Țuțea,Q956913,0.95,True
petru cercel,Petru Cercel,Q684905,0.95,True
petru dobra,Petru Dobra,Q12737887,0.95,True
petru maior,Petru Maior,Q897482,0.95,True
petru rares,Petru Rareș,Q249558,0.95,True
pintea,Pintea Haiducul,Q359170,1.00,True
popa sapca,Popa Șapcă,Q12738350,0.95,True
popes sapca,Popa Șapcă,Q12738350,0.95,True
preda buzescu,Preda Buzescu,Q12738437,0.95,True
radu negru,Radu Negru,Q1093958,0.95,True
radu de la afumati,Radu de la Afumați,Q113217,1.00,True
elisabeta,Regina Elisabeta,Q57629,1.00,True
rubin patitia,Rubin Patitia,Q25374195,1.00,True
sabin balasa,Sabin Bălașa,Q744393,0.95,True
samuel micu,Samuel Micu,Q653549,1.00,True
vulcan,Samuil Vulcan,Q570225,0.95,True
sava hentia,Sava Henția,Q12740452,0.95,True
septimiu albini,Septimiu Albini,Q18537333,0.95,True
septimius severus,Septimius Severus,Q1442,0.95,True
sergiu celibidache,Sergiu Celibidache,Q165671,0.95,True
aleea sf. eugeniu,Sf. Eugeniu,,0.00,False
aleea sfanta elisabeta,Sfânta Elisabeta,Q159862,1.00,True
simion balint,Simion Balint,Q12740878,0.95,True
simion barnutiu,Simion Bărnuțiu,Q701594,1.00,True
simion mandrescu,Simion Mândrescu,Q118698053,0.95,True
simion stefan,Simion Ștefan,Q18549449,1.00,True
spiru haret,Spiru Haret,Q2576756,0.95,True
take ionescu,Take Ionescu,Q1243658,0.95,True
theodor neculuta,Theodor Neculuță,Q18544290,1.00,True
theodor pallady,Theodor Pallady,Q568284,0.95,True
timotei cipariu,Timotei Cipariu,Q897286,0.95,True
titel petrescu,Titel Petrescu,Q5163771,1.00,True
titu maiorescu,Titu Maiorescu,Q342564,0.95,True
toma caragiu,Toma Caragiu,Q975585,0.95,True
traian grozavescu,Traian Grozăvescu,Q2448090,0.95,True
traian mosoiu,Traian Moșoiu,Q7832693,0.95,True
traian,Împăratul Traian,Q1425,1.00,True
tudor arghezi,Tudor Arghezi,Q435755,0.95,True
tudor vladimirescu,Tudor Vladimirescu,Q359108,0.95,True
valeriu braniste,Valeriu Braniște,Q12743059,0.95,True
vasile alecsandri,Vasile Alecsandri,Q352004,0.95,True
vasile carlova,Vasile Cârlova,Q7916602,0.95,True
vasile goldis,Vasile Goldiș,Q755770,0.95,True
vasile lucaciu,Vasile Lucaciu,Q3554920,0.95,True
veniamin costache,Veniamin Costache,Q640117,0.95,True
victor babes,Victor Babeș,Q278216,0.95,True
victor hugo,Victor Hugo,Q535,0.95,True
vlad tepes,Vlad III Țepeș,Q43715,1.00,True
voinicului,Voinicul,,0.00,False
walter maracineanu,Walter Mărăcineanu,Q136671998,0.95,True
emile zola,Émile Zola,Q504,0.95,True
stefan octavian iosif,Ștefan Octavian Iosif,Q2062401,0.95,True
stefan pascu,Ștefan Pascu,Q12744321,0.95,True
stefan cel mare,Ștefan cel Mare,Q1086361,0.95,True
stefan cel mare si sfant,Ștefan cel Mare și Sfânt,Q218134,1.00,True
Ioan ratiu,Ioan Rațiu,Q14543073,1.00,True
Ioan petru culianu,Ioan Petru Culianu,Q602192,1.00,True
Ioan alexandru,Ioan Alexandru,Q1097646,1.00,True
aleea sf. capistrano,Sf. Capistrano,Q310359,1.00,True
avram iancu,Avram Iancu,Q720450,1.00,True
elena doamna,Elena Cuza,Q4975558,1.00,True
fratii buzesti,Frații Buzești,Q46951076,1.00,True
gen. david praporgescu,David Praporgescu,Q12726447,1.00,True
gheorghe asachi,Gheorghe Asachi,Q661452,1.00,True
grigore antipa,Grigore Antipa,Q3109807,1.00,True
ion barbu,Ion Barbu,Q545724,1.00,True
ion mincu,Ion Mincu,Q360474,1.00,True
matei corvin,Matei Corvin,Q188634,1.00,True
nicolae titulescu,Nicolae Titulescu,Q781476,1.00,True
petre ispirescu,Petre Ispirescu,Q1960911,1.00,True
radu stanca,Radu Stanca,Q7281729,1.00,True
tiberiu brediceanu,Tiberiu Brediceanu,Q181350,1.00,True
valter maracineanu,Valter Mărăcineanu,Q7912656,1.00,True
zaharia stancu,Zaharia Stancu,Q2468239,1.00,True
gabor aron,Gábor Áron,Q240299,1.00,True
gheorghe lazar,Gheorghe Lazăr,Q952971,1.00,True
lazar gheorghe,Gheorghe Lazăr,Q952971,1.00,True
traian vuia,Traian Vuia,Q1354864,1.00,True
tudor vianu,Tudor Vianu,Q8273058,1.00,True
a. i. cuza,Alexandru Ioan Cuza,Q294832,1.00,True
cuza voda,Alexandru Ioan Cuza,Q294832,1.00,True
al. i. cuza,Alexandru Ioan Cuza,Q294832,1.00,True
