core_name_norm,full_name,wikidata_qid,cause_of_death_qid,cause_of_death_label,birth_year_wd,death_year_wd
camil ressu,Camil Ressu,Q926472,,,1880,1962
carol davila,Carol Davila,Q1044174,,,1828,1884
cezar bolliac,Cezar Bolliac,Q5065837,,,1813,1881
cezar petrescu,Cezar Petrescu,Q2428037,,,1892,1961
ciprian porumbescu,Ciprian Porumbescu,Q381100,,,,
constantin brancoveanu,Constantin Brâncoveanu,Q216023,,,,
constantin brancusi,Constantin Brâncuși,Q153048,,,1876,1957
constantin dobrogeanu gherea,Constantin Dobrogeanu-Gherea,Q647428,,,,
dobrogeanu gherea,Constantin Dobrogeanu-Gherea,Q647428,,,,
constantin noica,Constantin Noica,Q336614,,,,
constantin prezan,Constantin Prezan,Q868851,,,1861,1943
constantin stere,Constantin Stere,Q2025879,,,1865,1936
corneliu coposu,Corneliu Coposu,Q528773,,,,
costache negri,Costache Negri,Q5112591,,,,
costache negruzzi,Costache Negruzzi,Q868839,,,1808,1868
crisan,Crișan,Q16427771,,,,
gen. david praporgescu,David Praporgescu,Q12726447,,,1866,1916
decebal,Decebal,Q903230,,,,
dimitrie bolintineanu,Dimitrie Bolintineanu,Q5277530,,,1819,1872
dimitrie cantemir,Dimitrie Cantemir,Q159933,,,1674,1723
dinicu golescu,Dinicu Golescu,Q647434,Q12152,myocardial infarction,1665,1717
dinu lipatti,Dinu Lipatti,Q355898,,,,
doamna stanca,Doamna Stanca,Q12726871,Q133780,plague,1550,1603
dragos voda,Dragoș Vodă,Q2537456,,,,
duiliu zamfirescu,Duiliu Zamfirescu,Q647380,,,,
ecaterina teodoroiu,Ecaterina Teodoroiu,Q1298714,,,,
ecaterina varga,Ecaterina Varga,Q580935,,,1802,
eftimie murgu,Eftimie Murgu,Q647431,,,1886,1942
elena cuza,Elena Cuza,Q4975558,,,1825,1909
elena doamna,Elena Cuza,Q4975558,,,1825,1909
elena vacarescu,Elena Văcărescu,Q292539,,,1864,1947
emil cioran,Emil Cioran,Q193405,Q11081,Alzheimer's disease,1911,1995
emil garleanu,Emil Gârleanu,Q3052223,,,1878,1914
emil racovita,Emil Racoviță,Q957599,,,1868,1947
g-ral eremia grigorescu,Eremia Grigorescu,Q1372003,,,1500,1521
eremia grigorescu,Eremia Grigorescu,Q1372003,,,1500,1521
eugen ionescu,Eugen Ionescu,Q59684743,,,,
eugen lovinescu,Eugen Lovinescu,Q3493179,,,1881,1943
fratii buzesti,Frații Buzești,Q46951076,,,,
geo bogza,Geo Bogza,Q847345,,,1908,1993
george bacovia,George Bacovia,Q301391,,,1881,1957
george cosbuc,George Coșbuc,Q473257,,,1866,1918
george calinescu,George Călinescu,Q2988829,,,1899,1965
george emil palade,George Emil Palade,Q219718,,,1912,2008
george enescu,George Enescu,Q188215,,,,
george toparceanu,George Topârceanu,Q927459,Q623031,liver cancer,1886,1937
gheorghe asachi,Gheorghe Asachi,Q661452,,,1788,1869
gheorghe baritiu,Gheorghe Barițiu,Q445042,,,1812,1893
gheorghe dima,Gheorghe Dima,Q23750207,,,,
gheorghe doja,Gheorghe Doja,Q5057872,,,,
gheorghe lazar,Gheorghe Lazăr,Q952971,,,1779,1821
lazar gheorghe,Gheorghe Lazăr,Q952971,,,1779,1821
g-ral gheorghe magheru,Gheorghe Magheru,Q647447,,,1881,1952
gheorghe magheru,Gheorghe Magheru,Q973203,,,1802,1880
gheorghe marinescu,Gheorghe Marinescu,Q1521586,,,1863,1938
gheorghe pop de basesti,Gheorghe Pop de Băsești,Q5556396,,,1835,1919
gheorghe sincai,Gheorghe Șincai,Q774046,,,1754,1816
gheorghe titeica,Gheorghe Țițeica,Q10564973,,,1873,1939
grigore alexandrescu,Grigore Alexandrescu,Q937570,,,1810,1885
grigore antipa,Grigore Antipa,Q3109807,,,1867,1944
grigore moisil,Grigore Moisil,Q2546258,,,1906,1973
grigore ureche,Grigore Ureche,Q592030,,,1590,1647
grigore vieru,Grigore Vieru,Q684808,Q9687,traffic collision,1935,2009
gabor aron,Gábor Áron,Q240299,,,1814,1849
henri coanda,Henri Coandă,Q328760,,,1886,1972
horia,Horia,Q25114194,,,,
horea,Horia,Q16425275,,,,
"horia,closca si crisan","Horia, Cloșca și Crișan",Q1656593,Q692003,breaking wheel,1731,1785
iancu jianu,Iancu Jianu,Q12724867,,,,
iancu de hunedoara,Iancu de Hunedoara,Q242688,Q133780,plague,1407,1456
Ioan budai-deleanu,Ioan Budai-Deleanu,Q840643,,,1760,1820
ioan ratiu,Ioan Rațiu,Q14543073,,,1828,1902
ioan slavici,Ioan Slavici,Q961107,,,1848,1925
ion agarbiceanu,Ion Agârbiceanu,Q12730779,,,,
ion andreescu,Ion Andreescu,Q1398494,,,,
ion antonescu,Ion Antonescu,Q152030,Q2140674,gunshot wound,1882,1946
ion barbu,Ion Barbu,Q545724,,,1895,1961
ion c. bratianu,Ion C. Brătianu,Q153047,,,1821,1891
i. c. bratianu,Ion C. Brătianu,Q647429,,,,
ion creanga,Ion Creangă,Q204810,Q6279182,seizure,1837,1889
g-ral ion dragalina,Ion Drăgălina,Q2918453,,,1860,1916
i. gh. duca,Ion G. Duca,Q1377596,,,1879,1933
ion ghica,Ion Ghica,Q647476,,,,
ion heliade radulescu,Ion Heliade Rădulescu,Q2071370,,,1802,1872
ion ionescu de la brad,Ion Ionescu de la Brad,Q6063106,,,1818,1891
ion luca caragiale,Ion Luca Caragiale,Q217022,,,,
i. l. caragiale,Ion Luca Caragiale,Q217022,,,,
i.l. caragiale,Ion Luca Caragiale,Q217022,,,,
ion mihalache,Ion Mihalache,Q2779508,,,1882,1963
ion mincu,Ion Mincu,Q360474,,,1852,1912
ion minulescu,Ion Minulescu,Q6063157,Q12152,myocardial infarction,1881,1944
ion neculce,Ion Neculce,Q5114661,,,,
cronicar ion neculce,Ion Neculce,Q647489,,,,
ion nistor,Ion Nistor,Q6063226,,,1876,1962
ion paun pincio,Ion Păun Pincio,Q12730939,,,1868,1894
ion roata,Ion Roată,Q2540525,,,,
ion vidu,Ion Vidu,Q6063392,,,1863,1931
ionel teodoreanu,Ionel Teodoreanu,Q647963,,,1897,1954
iosif vulcan,Iosif Vulcan,Q568275,Q401402,nephritis,1841,1907
iuliu maniu,Iuliu Maniu,Q462164,,,1873,1953
jokai mor,Jókai Mór,Q168717,,,,
jozsef attila,József Attila,Q130786,,,1947,
kossuth lajos,Kossuth Lajos,Q48592,,,,
liviu rebreanu,Liviu Rebreanu,Q462220,Q3392853,lung disease,1885,1944
lucian blaga,Lucian Blaga,Q381256,Q12078,cancer,1895,1961
marin preda,Marin Preda,Q1360145,Q193840,asphyxia,1922,1980
marin sorescu,Marin Sorescu,Q2420296,Q12152,myocardial infarction,1936,1996
matei basarab,Matei Basarab,Q719546,,,1580,1654
matei corvin,Matei Corvin,Q188634,Q272002,foodborne illness,1443,1490
matei millo,Matei Millo,Q2900758,,,1814,1896
mihai eminescu,Mihai Eminescu,Q184935,,,1850,1889
mihail eminescu,Mihai Eminescu,Q169930,,,,
mihai viteazul,Mihai Viteazul,Q118755,,,1558,1601
mihai viteazu,Mihai Viteazul,Q12724934,,,,
mihai bravu,Mihai Viteazul,Q156605,,,,
mihail kogalniceanu,Mihail Kogălniceanu,Q319759,,,1817,1891
mihail sadoveanu,Mihail Sadoveanu,Q217048,,,,
mina minovici,Mina Minovici,Q6862713,,,1858,1933
mircea eliade,Mircea Eliade,Q41590,,,1907,1986
mircea cel batran,Mircea cel Bătrân,Q12131591,,,,
mircea voda,Mircea cel Bătrân,Q208494,,,,
mircea cel mare,Mircea cel Bătrân,Q208494,,,,
miron costin,Miron Costin,Q2604582,,,1633,1692
marton aron,Márton Áron,Q289962,,,1896,1980
n.d. paulescu,N.D. Paulescu,Q1386190,,,1869,1932
neagoe basarab,Neagoe Basarab,Q559382,,,1200,1187
negru voda,Negru Vodă,Q305001,,,,
nichita stanescu,Nichita Stănescu,Q1261307,Q131742,hepatitis,1933,1983
nicolae balcescu,Nicolae Bălcescu,Q940856,,,,
nicolae filimon,Nicolae Filimon,Q7029251,Q12204,tuberculosis,1819,1865
nicolae filipescu,Nicolae Filipescu,Q5471132,,,1862,1916
nicolae grigorescu,Nicolae Grigorescu,Q330815,,,1590,1641
nicolae iorga,Nicolae Iorga,Q313581,Q2140674,gunshot wound,1871,1940
nicolae labis,Nicolae Labiș,Q923614,Q9637047,struck by vehicle,1935,1956
nicolae titulescu,Nicolae Titulescu,Q781476,,,1882,1941
nicolae tonitza,Nicolae Tonitza,Q1028044,,,,
octav bancila,Octav Băncilă,Q3068361,,,1872,1944
octavian goga,Octavian Goga,Q223414,,,1881,1938
otilia cazimir,Otilia Cazimir,Q12737301,,,1894,1967
panait cerna,Panait Cerna,Q3657061,Q12204,tuberculosis,1881,1913
panait istrati,Panait Istrati,Q344179,Q12204,tuberculosis,1884,1935
miron cristea,Patriarh Miron Cristea,Q2268352,Q12192,pneumonia,1868,1939
penes curcanul,Peneș Curcanul,Q12737733,,,1854,1932
petrache poenaru,Petrache Poenaru,Q647536,,,,
petre ispirescu,Petre Ispirescu,Q1960911,,,1830,1887
petre tutea,Petre Țuțea,Q956913,,,1902,1991
petru cercel,Petru Cercel,Q684905,Q204933,decapitation,1556,1590
petru maior,Petru Maior,Q897482,,,1756,1821
petru rares,Petru Rareș,Q249558,,,1487,1546
petofi sandor,Petőfi Sándor,Q46261,,,,
pintea,Pintea Haiducul,Q359170,Q680838,ambush,1670,1703
popa sapca,Popa Șapcă,Q12738350,,,1795,1876
popes sapca,Popa Șapcă,Q12738350,,,1795,1876
preda buzescu,Preda Buzescu,Q12738437,,,1550,1608
ovidiu,Publius Ovidius Naso,Q7198,,,-43,17
radu negru,Radu Negru,Q1093958,,,1269,
radu de la afumati,Radu de la Afumați,Q113217,,,1493,1529
carol i,Regele Carol I,Q131694,,,,
ferdinand,Regele Ferdinand I,Q159014,,,,
ferdinand i,Regele Ferdinand I,Q57165,,,1865,1927
elisabeta,Regina Elisabeta,Q57629,,,1843,1916
maria,Regina Maria,Q159020,,,,
vulcan,Samuil Vulcan,Q570225,,,1758,1839
sergiu celibidache,Sergiu Celibidache,Q165671,,,1912,1996
simion barnutiu,Simion Bărnuțiu,Q701594,,,1808,1864
spiru haret,Spiru Haret,Q2576756,,,1851,1912
theodor aman,Theodor Aman,Q1388476,,,,
theodor neculuta,Theodor Neculuță,Q18544290,,,1859,1904
theodor pallady,Theodor Pallady,Q568284,,,1871,1956
tiberiu brediceanu,Tiberiu Brediceanu,Q181350,,,1877,1968
timotei cipariu,Timotei Cipariu,Q897286,,,1805,1887
titel petrescu,Titel Petrescu,Q5163771,Q12204,tuberculosis,1888,1957
titu maiorescu,Titu Maiorescu,Q342564,,,1840,1917
toma caragiu,Toma Caragiu,Q975585,Q751139,1977 Vrancea earthquake,1925,1977
traian grozavescu,Traian Grozăvescu,Q2448090,Q109217482,shooting attack,1895,1927
traian mosoiu,Traian Moșoiu,Q7832693,,,1868,1932
traian vuia,Traian Vuia,Q1354864,,,1872,1950
tudor arghezi,Tudor Arghezi,Q435755,,,1880,1967
tudor vianu,Tudor Vianu,Q8273058,Q12152,myocardial infarction,1898,1964
tudor vladimirescu,Tudor Vladimirescu,Q359108,,,1780,1821
valeriu braniste,Valeriu Braniște,Q12743059,,,1869,1928
valter maracineanu,Valter Mărăcineanu,Q7912656,,,1840,1877
vasile alecsandri,Vasile Alecsandri,Q352004,Q47912,lung cancer,1821,1890
vasile conta,Vasile Conta,Q2524023,,,,
vasile carlova,Vasile Cârlova,Q7916602,Q18123741,infectious disease,1809,1831
vasile goldis,Vasile Goldiș,Q755770,,,,
vasile lucaciu,Vasile Lucaciu,Q3554920,,,1852,1922
vasile lupu,Vasile Lupu,Q524987,,,1982,
vasile parvan,Vasile Pârvan,Q647397,,,,
veniamin costache,Veniamin Costache,Q640117,,,1768,1846
veronica micle,Veronica Micle,Q561702,,,,
victor babes,Victor Babeș,Q278216,,,1854,1926
victor hugo,Victor Hugo,Q535,Q12192,pneumonia,1802,1885
vlad tepes,Vlad Țepeș,Q43715,Q204933,decapitation,1431,1476
tepes voda,Vlad Țepeș,Q44611,,,,
walter maracineanu,Walter Mărăcineanu,Q136671998,,,,
zaharia stancu,Zaharia Stancu,Q2468239,,,1902,1974
traian,Împăratul Traian,Q1425,Q8264724,stroke,53,117
stefan luchian,Ștefan Luchian,Q330905,,,,
stefan octavian iosif,Ștefan Octavian Iosif,Q2062401,Q12202,stroke,1875,1913
stefan cel mare,Ștefan cel Mare,Q1086361,,,,
stefan cel mare si sfant,Ștefan cel Mare,Q218134,Q133087,gout,1433,1504
